Year,Country / territory of asylum/residence,Origin,Population type,Value
1991,Angola,South Africa,Returnees,1850
1991,Benin,Chad,Returnees,320
1991,Botswana,South Africa,Returnees,350
1991,Central African Rep.,Chad,Returnees,900
1991,Switzerland,Lao People's Dem. Rep.,Returnees,1
1991,China,Lao People's Dem. Rep.,Returnees,723
1991,China,Viet Nam,Returnees,530
1991,Cameroon,Chad,Returnees,5450
1991,Dem. Rep. of the Congo,Angola,Returnees,35210
1991,Congo,Chad,Returnees,150
1991,Costa Rica,Nicaragua,Returnees,5390
1991,Costa Rica,El Salvador,Returnees,200
1991,Djibouti,Ethiopia,Returnees,2830
1991,Dominican Rep.,Haiti,Returnees,400
1991,Ecuador,Chile,Returnees,90
1991,Ecuador,Cuba,Returnees,80
1991,Ethiopia,Sudan,Returnees,370000
1991,France,Lao People's Dem. Rep.,Returnees,14
1991,Ghana,Liberia,Returnees,2030
1991,Guatemala,Nicaragua,Returnees,380
1991,Guatemala,El Salvador,Returnees,60
1991,French Guiana,Suriname,Returnees,630
1991,"China, Hong Kong SAR",Viet Nam,Returnees,7666
1991,Honduras,Guatemala,Returnees,400
1991,Honduras,Haiti,Returnees,100
1991,Honduras,Nicaragua,Returnees,80
1991,Honduras,El Salvador,Returnees,520
1991,Hungary,Romania,Returnees,150
1991,Hungary,Serbia and Kosovo (S/RES/1244 (1999)),Returnees,7500
1991,Indonesia,Viet Nam,Returnees,1310
1991,India,Afghanistan,Returnees,3270
1991,India,Iran (Islamic Rep. of),Returnees,190
1991,India,Iraq,Returnees,2
1991,Iran (Islamic Rep. of),Iraq,Returnees,1333860
1991,Iraq,Iran (Islamic Rep. of),Returnees,70
1991,Jordan,Somalia,Returnees,430
1991,Kenya,Uganda,Returnees,60
1991,Mexico,Guatemala,Returnees,1350
1991,Mexico,El Salvador,Returnees,90
1991,Mali,Liberia,Returnees,140
1991,Malaysia,Viet Nam,Returnees,355
1991,Niger,Chad,Returnees,2170
1991,Nigeria,Chad,Returnees,80
1991,Nicaragua,El Salvador,Returnees,1080
1991,Pakistan,Afghanistan,Returnees,175000
1991,Pakistan,Iran (Islamic Rep. of),Returnees,120
1991,Pakistan,Iraq,Returnees,250
1991,Panama,Nicaragua,Returnees,50
1991,Panama,El Salvador,Returnees,600
1991,Philippines,Viet Nam,Returnees,71
1991,Papua New Guinea,Indonesia,Returnees,540
1991,Rwanda,Burundi,Returnees,590
1991,Saudi Arabia,Iraq,Returnees,2700
1991,Sudan,Ethiopia,Returnees,50950
1991,Sudan,Chad,Returnees,48300
1991,Senegal,Mauritania,Returnees,1400
1991,Singapore,Viet Nam,Returnees,1
1991,Sierra Leone,Liberia,Returnees,97800
